"kind","group","element","scenario","period","resolution","file","path"
"elements","bird","bird-piwo","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-piwo/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-pufi","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-pufi/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-rbgr","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rbgr/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-rbnu","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rbnu/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-rcki","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rcki/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-revi","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-revi/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-rugr","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rugr/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-rwbl","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-rwbl/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-savs","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-savs/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-sosp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-sosp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-swsp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-swsp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-swth","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-swth/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-tewa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-tewa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-tres","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-tres/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-wavi","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wavi/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-wcsp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wcsp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-weta","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-weta/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-wewp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wewp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-wiwa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wiwa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-wiwr","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wiwr/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-wtsp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wtsp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-wwcr","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wwcr/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-ybfl","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-ybfl/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-ybsa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-ybsa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-yewa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-yewa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-yrwa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-yrwa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","tree","tree-betu-pap","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-betu-pap/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","tree","tree-lari-lar","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-lari-lar/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","tree","tree-pice-gla","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-pice-gla/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","tree","tree-pice-mar","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-pice-mar/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","tree","tree-pinu-ban","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-pinu-ban/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","tree","tree-popu-tre","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-popu-tre/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-alfl","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-alfl/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-amcr","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amcr/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-amre","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amre/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-amro","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amro/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-atsp","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-atsp/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-baww","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-baww/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-bbwa","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bbwa/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-bbwo","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bbwo/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-bcch","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bcch/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-bhco","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bhco/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-bhvi","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bhvi/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-blpw","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-blpw/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-boch","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-boch/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-brbl","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-brbl/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-brcr","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-brcr/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-btnw","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-btnw/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-cawa","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-cawa/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-chsp","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-chsp/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-cora","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-cora/landr-scfm-v4/2100/250m/mean.tif"
"elements","bird","bird-coye","landr-scfm-v4","2100","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-coye/landr-scfm-v4/2100/250m/mean.tif"
